Event	ID	Name			Wwise Object Path	Notes
	23853805	PlayHealthPickup			\Default Work Unit\SFX\Health\PlayHealthPickup	
	594124390	Play_WeaponPickup			\Default Work Unit\SFX\Weapon\Play_WeaponPickup	
	674522502	Land			\Default Work Unit\Character\Movement\Land	
	1197535613	PlayWind2			\Default Work Unit\Ambience\Wind\PlayWind2	
	1502558243	WeaponSwing4			\Default Work Unit\Character\Combat\WeaponSwing4	
	1502558244	WeaponSwing3			\Default Work Unit\Character\Combat\WeaponSwing3	
	1502558245	WeaponSwing2			\Default Work Unit\Character\Combat\WeaponSwing2	
	1502558246	WeaponSwing1			\Default Work Unit\Character\Combat\WeaponSwing1	
	1508872842	JumpAt			\Default Work Unit\Character\Movement\JumpAt	
	1792115892	PlaySpaceshipAlarm			\Default Work Unit\SFX\Spaceship\PlaySpaceshipAlarm	
	1810625332	PlayHealthRelease			\Default Work Unit\SFX\Health\PlayHealthRelease	
	2513331627	LandAlt			\Default Work Unit\Character\Movement\LandAlt	
	2706800728	PlayWater			\Default Work Unit\Ambience\Water\PlayWater	
	2768078434	CrystalActivate			\Default Work Unit\SFX\Crystals\CrystalActivate	
	3078778343	PlaySpaceshipIdle			\Default Work Unit\SFX\Spaceship\PlaySpaceshipIdle	
	3423484422	PlayWindAlt			\Default Work Unit\Ambience\Wind\PlayWindAlt	
	3684444523	PlayWind11			\Default Work Unit\Ambience\Wind\PlayWind11	
	3833651337	Jump			\Default Work Unit\Character\Movement\Jump	
	3854155799	Play_Footsteps			\Default Work Unit\Character\Movement\Play_Footsteps	

Game Parameter	ID	Name			Wwise Object Path	Notes
	639876002	JumpAlt			\Default Work Unit\JumpAlt	
	658274915	WindForceLeft			\Default Work Unit\WindForceLeft	
	867005342	WindForceRight			\Default Work Unit\WindForceRight	
	926105675	WindTemperatureRight			\Default Work Unit\WindTemperatureRight	
	2513331627	LandAlt			\Default Work Unit\LandAlt	
	3200895820	WindTemperatureLeft			\Default Work Unit\WindTemperatureLeft	
	3369782661	WindGainLeft			\Default Work Unit\WindGainLeft	
	3394536240	WindGainRight			\Default Work Unit\WindGainRight	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	11692793	DGHvWeaponSwing	DGHvWeaponSwing		\Actor-Mixer Hierarchy\Default Work Unit\Character\Combat\WeaponSwing4\DGHvWeaponSwing	
	108717804	DGHvWindGenerator11	DGHvWindGenerator11		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Wind\WindGenerator11\DGHvWindGenerator11	Due to working with PD and HVCC. Value to change wind 0, 1 & 2.  The Gain Values can be any value above 0 and upto 2.
	111629686	DGHvWaterSource	DGHvWaterSource		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Water\DGHvWaterSource	
	126147210	DGHvLandSoundAlt	DGHvLandSoundAlt		\Actor-Mixer Hierarchy\Default Work Unit\Character\Movement\LandAlt\DGHvLandSoundAlt	
	153051183	DGHvJumpPatchAlt	DGHvJumpPatchAlt		\Actor-Mixer Hierarchy\Default Work Unit\Character\Movement\JumpAlt\DGHvJumpPatchAlt	
	161730617	DGHvWeaponSwing	DGHvWeaponSwing		\Actor-Mixer Hierarchy\Default Work Unit\Character\Combat\WeaponSwing\DGHvWeaponSwing	
	189504074	DGHvCrystal2Activate	DGHvCrystal2Activate		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Crystals\CrystalActivate\Crystal2Activate\DGHvCrystal2Activate	
	200373841	DGHvWeaponSwing	DGHvWeaponSwing		\Actor-Mixer Hierarchy\Default Work Unit\Character\Combat\WeaponSwing2\DGHvWeaponSwing	
	215023818	MSHvFootstepsSound	MSHvFootstepsSound		\Actor-Mixer Hierarchy\Default Work Unit\Character\Movement\Footsteps\MSHvFootstepsSound	
	285419533	DGHvHealthPickUp	DGHvHealthPickUp		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Health\HealthPickup\DGHvHealthPickUp	
	500047252	DGHvHealthRelease	DGHvHealthRelease		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Health\HealthRelease\DGHvHealthRelease	
	541608609	DGHvCrystal1Activate	DGHvCrystal1Activate		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Crystals\CrystalActivate\Crystal1Activate\DGHvCrystal1Activate	
	615182422	DGHvShipDamagedAlarm	DGHvShipDamagedAlarm		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Spaceship\ShipDamagedAlarm\DGHvShipDamagedAlarm	
	678023884	DGHvCrystalObjectiveComplete	DGHvCrystalObjectiveComplete		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Crystals\CrystalActivate\CrystalObjectiveComplete\DGHvCrystalObjectiveComplete	
	695209362	DGHvJumpSound	DGHvJumpSound		\Actor-Mixer Hierarchy\Default Work Unit\Character\Movement\Jump\DGHvJumpSound	
	727093476	DGHvLandSound	DGHvLandSound		\Actor-Mixer Hierarchy\Default Work Unit\Character\Movement\Land\DGHvLandSound	
	741202296	DGHvWindGenerator2	DGHvWindGenerator2		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Wind\WindGenerator2\DGHvWindGenerator2	
	771378655	DGHvWeaponSwing	DGHvWeaponSwing		\Actor-Mixer Hierarchy\Default Work Unit\Character\Combat\WeaponSwing3\DGHvWeaponSwing	
	810108582	DGHvShipEngineIdle	DGHvShipEngineIdle		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Spaceship\SpaceShipEngineIdle\DGHvShipEngineIdle	
	935284089	MSHvWeaponPickup	MSHvWeaponPickup		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Weapon\WeaponPickup\MSHvWeaponPickup	
	978280597	DGHvWindGeneratorAlt	DGHvWindGeneratorAlt		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Wind\WindGeneratorAlt\DGHvWindGeneratorAlt	
